"sample-id","absolute-filepath","direction"
"ORIG1CR1101NW01000c","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW01000c_R1.fastq.gz","forward"
"ORIG1CR1101NW01000c","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW01000c_R2.fastq.gz","reverse"
"ORIG1CR1101NW02000c","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW02000c_R1.fastq.gz","forward"
"ORIG1CR1101NW02000c","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW02000c_R2.fastq.gz","reverse"
"ORIG1CR1101NW03000b","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW03000b_R1.fastq.gz","forward"
"ORIG1CR1101NW03000b","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW03000b_R2.fastq.gz","reverse"
"ORIG1CR1101NW04000b","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW04000b_R1.fastq.gz","forward"
"ORIG1CR1101NW04000b","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW04000b_R2.fastq.gz","reverse"
"ORIG1CR1101NW05000b","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW05000b_R1.fastq.gz","forward"
"ORIG1CR1101NW05000b","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW05000b_R2.fastq.gz","reverse"
"ORIG1CR1101NW06000a","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW06000a_R1.fastq.gz","forward"
"ORIG1CR1101NW06000a","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW06000a_R2.fastq.gz","reverse"
"ORIG1CR1101NW07000a","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW07000a_R1.fastq.gz","forward"
"ORIG1CR1101NW07000a","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW07000a_R2.fastq.gz","reverse"
"ORIG1CR1101NW08000b","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW08000b_R1.fastq.gz","forward"
"ORIG1CR1101NW08000b","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW08000b_R2.fastq.gz","reverse"
"ORIG1CR1101NW09000b","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW09000b_R1.fastq.gz","forward"
"ORIG1CR1101NW09000b","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW09000b_R2.fastq.gz","reverse"
"ORIG1CR1101NW10000b","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW10000b_R1.fastq.gz","forward"
"ORIG1CR1101NW10000b","$PWD/primer_trimmed_fastqs/ORIG1CR1101NW10000b_R2.fastq.gz","reverse"
